"Account_ID","Prediction"
1000002,2.78278736495226
1000004,2.01577233565451
1000005,2.99786874950651
1000010,2.45596326982995
1000014,3.26519680876628
1000017,2.91828302952215
1000019,2.59074551041268
1000022,2.91379171273318
1000023,2.37328983068613
1000024,3.17079634601953
1000034,2.57955621198665
1000037,3.07973515955636
1000042,2.86044272075793
1000044,2.91887774771139
1000046,3.76794020394361
1000050,2.43608136808811
1000052,2.72166447221891
1000063,2.98013158041812
1000072,3.24549508018548
1000079,3.25836626687557
1000082,2.36942499640026
1000089,2.8797101911144
1000100,4.56428276890764
1000101,2.33448640937779
1000104,3.09960882428358
1000111,2.63749015999515
1000113,3.78521588816413
1000115,2.91688924215491
1000122,2.59193005558434
1000124,2.47925015413548
1000125,2.01913305472993
1000133,3.63301838289221
1000138,2.90082846887388
1000149,2.91394902684526
1000153,3.41407859005029
1000158,2.74318481359304
1000168,2.82378095667657
1000191,2.39633635368518
1000195,2.1061985237198
1000196,2.4425805682637
1000202,3.7956242986192
1000206,2.32888999929207
1000207,2.610599657123
1000212,3.07579374941643
1000219,3.07871035743662
1000220,2.82363045933623
1000235,1.88827174077281
1000237,2.3255116581295
1000240,3.12587234084341
1000249,2.74476457847404
1000253,2.57812118425743
1000258,2.71073662681033
1000273,3.83584456424274
1000274,2.75271644274112
1000275,2.98774742541428
1000280,2.82770374508716
1000283,2.81447620794001
1000287,2.89247329961081
1000292,2.3389704501687
1000303,3.16056086476351
1000304,2.56412035736835
1000306,2.81227149019421
1000310,3.18695907106742
1000312,2.63067166783504
1000314,1.62087176025418
1000316,2.69908730985459
1000320,2.70848845480479
1000353,2.80875419421435
1000359,3.09741118553203
1000366,3.00725567966767
1000381,3.07885698767847
1000382,2.8729825875184
1000383,2.93702832581078
1000384,2.84985571433593
1000396,2.50830222259292
1000399,2.52081165225962
1000404,3.27521441197056
1000407,2.7776273654798
1000423,2.31552436134484
1000444,2.64914920369302
1000445,2.15261327764399
1000449,3.10368703777759
1000452,2.84882371610625
1000457,2.7772131740826
1000459,2.80895176775545
1000465,2.07155298471009
1000474,2.72384857198288
1000475,3.13462134812548
1000483,3.21083687392957
1000491,3.08634845693275
1000499,2.70754061747002
1000500,3.26835840036642
1000502,3.4818388074065
1000505,2.68834711725245
1000507,3.08324075051255
1000520,2.92252489143237
1000533,3.21348615365387
1000535,2.97971288109798
1000539,2.83130419258048
1000542,2.66942001633668
1000545,2.67783644981046
1000552,2.64368418841451
1000554,3.03771958109377
1000556,3.007638277091
1000558,2.70622524892094
1000559,2.63970655583824
1000560,2.67156098992373
1000561,2.73226266630611
1000563,2.75563654048125
1000570,2.78773594144494
1000573,3.11105754358075
1000574,2.59638595244963
1000582,3.41597628086401
1000587,2.93851402697308
1000589,3.04084224431776
1000592,2.85988665690824
1000594,3.54920750017414
1000600,2.35801467229735
1000609,2.62508655798982
1000610,2.75658442258846
1000619,2.79887076898119
1000623,2.69046499615896
1000630,2.7857476085668
1000637,2.66045032031312
1000641,2.60608657580751
1000645,2.59258433016727
1000647,2.97385137270407
1000648,2.76531210587935
1000653,3.03277779113422
1000656,2.81156151138072
1000661,3.3923539313796
1000662,2.85277731569627
1000673,3.80607974758274
1000678,3.76994590272207
1000679,3.0618228067048
1000681,2.33686569583542
1000683,2.16495502147984
1000684,2.64827856065499
1000685,2.9368333442371
1000696,3.61881250936364
1000702,3.23900086624628
1000705,3.07033215551271
1000706,2.8564047445722
1000708,2.89283611884595
1000712,2.77073162411665
1000723,2.50979348305626
1000731,3.17650111229014
1000733,2.77055680702788
1000735,1.98376647452237
1000745,2.83418478226714
1000752,2.84054383727235
1000753,2.84816352392713
1000756,2.54254758424781
1000759,2.65418058016618
1000765,2.97404449002223
1000766,3.11462187777257
1000779,2.49182791762102
1000783,2.84390417133056
1000789,2.85143250228066
1000791,2.50564902404529
1000794,2.70445797149435
1000797,2.59090077603291
1000799,3.17666034927361
1000800,3.86211192446661
1000802,2.64229268359188
1000811,3.28565862848622
1000813,3.23984607160074
1000817,2.69858164420396
1000819,3.19577915390412
1000823,2.29316240513756
1000825,3.00023419948471
1000827,2.90818836525553
1000834,2.66555763782485
1000835,2.64806997040914
1000837,2.96947309584493
1000838,3.25146356969742
1000843,3.17942620197449
1000844,3.06763704016865
1000851,2.19508518708835
1000862,3.45539714944457
1000864,4.0546209061142
1000865,2.70265361398552
1000868,2.97131076391153
1000872,3.22641573175941
1000873,3.12675254869731
1000876,2.7833616648106
1000877,2.09426977697945
1000883,2.93112736025592
1000887,2.74988465814125
1000892,2.4735547426398
1000894,2.77864422713195
1000897,2.81392158318671
1000898,2.75926993075811
1000903,2.91262832023262
1000907,2.89056826968468
1000912,2.88965907002632
1000913,2.91674943278205
1000919,3.35238895166826
1000924,2.91548977547084
1000931,3.48084825528216
1000932,2.32195219037827
1000939,2.70684038142986
1000941,2.86404365321759
1000942,3.58479928216599
1000954,3.22639247549484
1000956,2.63843628852043
1000957,3.08102394951718
1000962,2.89998631374954
1000973,3.61029842412334
1000977,2.681561264647
1000980,3.42455463296474
1000981,2.65548810267816
1000986,2.79099172013776
1000992,3.06609314485032
1000998,3.35360704777599
1000999,3.12543735497548
1001001,2.67456461530285
1001002,3.53664256170857
1001003,3.68318599809422
1001007,2.66845792085522
1001018,2.51757941690725
1001019,2.85252713112356
1001024,3.66660163227868
1001026,2.81957438745385
1001028,3.53855241703677
1001030,3.18631342518441
1001032,3.53629316847331
1001034,1.98785237717466
1001037,2.51433401509093
1001047,2.81860712933764
1001049,2.34220356950043
1001060,2.22566371258398
1001063,2.90467620766982
1001067,2.56485216494821
1001068,3.43589172293148
1001072,2.88669434475689
1001074,2.54238281009224
